Configuración,Valor Predeterminado,Enlace
Ocultar exclusiones de administradores locales,"si habilita esta configuración, los administradores locales ya no podrán ver la lista de exclusión en Seguridad de Windows Aplicación o a través de PowerShell.",https://learn.microsoft.com/es-es/windows/client-management/mdm/Defender-csp/?WT.mc_id=Portal-fx#configurationhideexclusionsfromlocaladmins
Protección de PUA,protección pua activada. Los elementos detectados están bloqueados. Se mostrarán en la historia junto con otras amenazas.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-fx#puaprotection
Dirección del examen en tiempo real,supervise todos los archivos (bidireccionales).,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Defender?WT.mc_id=Portal-fx##realtimescandirection
Enviar consentimiento de ejemplos,envíe todas las muestras automáticamente.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-defender?WT.mc_id=Portal-fx#submitsamplesconsent
Configuración del inicio de Protección del sistema,Unmanaged Habilita el inicio seguro si es compatible con hardware,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-deviceguard?WT.mc_id=Portal-fx#configuresystemguardlaunch
Credential Guard,(Habilitado con bloqueo UEFI) Activa Credential Guard con bloqueo UEFI.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-deviceguard?WT.mc_id=Portal-fx#lsacfgflags
Habilitación de la seguridad basada en virtualización,habilite la seguridad basada en virtualización.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-deviceguard?WT.mc_id=Portal-fx#enablevirtualizationbasedsecurity
Requerir características de seguridad de la plataforma,activa VBS con arranque seguro.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-deviceguard?WT.mc_id=Portal-fx#requireplatformsecurityfeatures
Contraseña del dispositivo habilitada,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-devicelock?WT.mc_id=Portal-fx#devicepasswordenabled
Historial de contraseñas del dispositivo,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-devicelock?WT.mc_id=Portal-fx#devicepasswordhistory
Longitud mínima de la contraseña del dispositivo,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-devicelock?WT.mc_id=Portal-fx#mindevicepasswordlength
Directiva de enumeración de dispositivos,Bloquear todo (más restrictivo),https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-dmaguard?WT.mc_id=Portal-fx#deviceenumerationpolicy
Permitir contenido destacado de Windows (usuario),Permitir,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Experience?WT.mc_id=Portal-fx#allowwindowsspotlight
Permitir características de consumidor de Windows,Bloquear,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-experience?WT.mc_id=Portal-fx#allowwindowsconsumerfeatures
Permitir sugerencias de terceros en contenido destacado de Windows (usuario),Bloquear,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Experience?WT.mc_id=Portal-fx#allowthirdpartysuggestionsinwindowsspotlight
Habilitación del firewall de red de dominio,True,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstoredomainprofileenablefirewall
Habilitación del Connections de operación correcta del registro,habilitar el registro de Connections correcto,https://learn.microsoft.com/es-es/windows/client-management/mdm/Firewall-csp/?WT.mc_id=Portal-fx#mdmstoredomainprofileenablelogsuccessconnections
Acción de salida predeterminada,Permitir,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstoredomainprofiledefaultoutboundaction
Habilitar paquetes eliminados de registro,habilitar el registro de paquetes eliminados,https://learn.microsoft.com/es-es/windows/client-management/mdm/Firewall-csp/?WT.mc_id=Portal-fx#mdmstoredomainprofileenablelogdroppedpackets
Deshabilitar notificaciones entrantes,True,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstoredomainprofiledisableinboundnotifications
Tamaño máximo de archivo del registro,16384,https://learn.microsoft.com/es-es/windows/client-management/mdm/Firewall-csp/?WT.mc_id=Portal-fx#mdmstoredomainprofilelogmaxfilesize
Acción de entrada predeterminada para el perfil de dominio,Bloquear,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstoredomainprofiledefaultinboundaction
Habilitación del firewall de red privada,True,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstoreprivateprofileenablefirewall
Tamaño máximo de archivo del registro,16384,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstoreprivateprofilelogmaxfilesize
Acción de entrada predeterminada para perfil privado,Bloquear,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstoreprivateprofiledefaultinboundaction
Habilitación del Connections de operación correcta del registro,habilitar el registro de Connections correcto,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstoreprivateprofileenablelogsuccessconnections
Habilitar paquetes eliminados de registro,habilitar el registro de paquetes eliminados,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstoreprivateprofileenablelogdroppedpackets
Acción de salida predeterminada,Permitir,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstoreprivateprofiledefaultoutboundaction
Deshabilitar notificaciones entrantes,True,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstoreprivateprofiledisableinboundnotifications
Habilitación del firewall de red pública,True,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstorepublicprofileenablefirewall
Habilitar paquetes eliminados de registro,habilitar el registro de paquetes eliminados,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstorepublicprofileenablelogdroppedpackets
Tamaño máximo de archivo del registro,16384,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstorepublicprofilelogmaxfilesize
Acción de salida predeterminada,Permitir,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstorepublicprofiledefaultoutboundaction
Deshabilitar notificaciones entrantes,True,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstorepublicprofiledisableinboundnotifications
Acción de entrada predeterminada para el perfil público,Bloquear,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstorepublicprofiledefaultinboundaction
Permitir combinación de directivas locales,False,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstorepublicprofileallowlocalpolicymerge
Habilitación del Connections de operación correcta del registro,habilitar el registro de Connections correcto,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstorepublicprofileenablelogsuccessconnections
Permitir combinación de directivas de IPsec local,False,https://learn.microsoft.com/es-es/windows/client-management/mdm/firewall-csp?WT.mc_id=Portal-fx#mdmstorepublicprofileallowlocalipsecpolicymerge
Habilitar inicios de sesión de invitado no seguros,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LanmanWorkstation?WT.mc_id=Portal-fx#enableinsecureguestlogons
Las cuentas limitan el uso de contraseñas en blanco en la cuenta local solo para el inicio de sesión en la consola,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#accounts_limitlocalaccountuseofblankpasswordstoconsolelogononly
Límite de inactividad de la máquina de inicio de sesión interactivo,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#interactivelogon_machineinactivitylimit
Comportamiento de eliminación de tarjeta inteligente de inicio de sesión interactivo,Bloquear estación de trabajo,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#interactivelogon_smartcardremovalbehavior
El cliente de Microsoft Network firma digitalmente las comunicaciones siempre,Habilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#microsoftnetworkclient_digitallysigncommunicationsalways
El cliente de red de Microsoft envía una contraseña sin cifrar a servidores SMB de terceros,Deshabilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#microsoftnetworkclient_sendunencryptedpasswordtothirdpartysmbservers
Microsoft Network Server firma digitalmente las comunicaciones siempre,Habilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#microsoftnetworkserver_digitallysigncommunicationsalways
El acceso de red no permite la enumeración anónima de cuentas SAM,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#networkaccess_donotallowanonymousenumerationofsamaccounts
El acceso a la red no permite la enumeración anónima de cuentas y recursos compartidos de Sam,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#networkaccess_donotallowanonymousenumerationofsamaccountsandshares
El acceso de red restringe el acceso anónimo a canalizaciones y recursos compartidos con nombre,Habilitación,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#networkaccess-restrictanonymousaccesstonamedpipesandshares
Acceso de red Restringir a los clientes permitidos realizar llamadas remotas a SAM,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#networkaccess_restrictclientsallowedtomakeremotecallstosam
Seguridad de red No almacenar el valor hash del administrador de LAN en el siguiente cambio de contraseña,Habilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#networksecurity_donotstorelanmanagerhashvalueonnextpasswordchange
Nivel de autenticación de Network Security LAN Manager,enviar solo respuestas LM y NTLMv2. Denegar LM y NTLM,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#networksecurity_lanmanagerauthenticationlevel
Seguridad de red Seguridad mínima de la sesión para clientes basados en NTLMSSP,requerir NTLM y cifrado de 128 bits,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#networksecurity_minimumsessionsecurityforntlmsspbasedclients
Seguridad de red Seguridad mínima de la sesión para servidores basados en NTLMSSP,requerir NTLM y cifrado de 128 bits,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#networksecurity_minimumsessionsecurityforntlmsspbasedservers
Comportamiento del control de cuentas de usuario de la solicitud de elevación para administradores,solicitar consentimiento en el escritorio seguro,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#useraccountcontrol_behavioroftheelevationpromptforadministrators
Comportamiento del control de cuentas de usuario de la solicitud de elevación para usuarios estándar,denegar automáticamente las solicitudes de elevación,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#useraccountcontrol_behavioroftheelevationpromptforstandardusers
Control de cuentas de usuario Detectar instalaciones de aplicaciones y solicitar elevación,Habilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#useraccountcontrol-detectapplicationinstallationsandpromptforelevation
El control de cuentas de usuario solo eleva las aplicaciones de acceso a la interfaz de usuario instaladas en ubicaciones seguras,habilitado: la aplicación se ejecuta con integridad UIAccess solo si reside en una ubicación segura.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#useraccountcontrol-onlyelevateuiaccessapplicationsthatareinstalledinsecurelocations
Control de cuentas de usuario Ejecutar todos los administradores en Administración modo de aprobación,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#useraccountcontrol_runalladministratorsinadminapprovalmode
Uso del control de cuentas de usuario Administración modo de aprobación,Habilitar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#useraccountcontrol_useadminapprovalmode
Control de cuentas de usuario Virtualizar errores de escritura de archivos y registro en ubicaciones por usuario,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-LocalPoliciesSecurityOptions?WT.mc_id=Portal-fx#useraccountcontrol_virtualizefileandregistrywritefailurestoperuserlocations
Configuración del proceso protegido de Lsa,habilitado con bloqueo UEFI. LSA se ejecutará como proceso protegido y esta configuración está bloqueada por UEFI.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-lsa#configurelsaprotectedprocess
Permitir DVR de juegos,Bloquear,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-ApplicationManagement?WT.mc_id=Portal-fx#allowgamedvr
MSI Permitir el control de usuario sobre la instalación,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-ApplicationManagement?WT.mc_id=Portal-fx#msiallowusercontroloverinstall
Instalación de MSI siempre con privilegios elevados,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-ApplicationManagement?WT.mc_id=Portal-fx#msialwaysinstallwithelevatedprivileges
Configuración de Microsoft Defender SmartScreen,habilitado,Sin enlace
Impedir la omisión de Microsoft Defender solicitudes de SmartScreen para sitios,habilitado,Sin enlace
Permitir que las aplicaciones se activen con la voz por encima del bloqueo,forzar denegación. Las aplicaciones de Windows no se pueden activar por voz mientras la pantalla está bloqueada y los usuarios no pueden cambiarla.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Privacy?WT.mc_id=Portal-fx#letappsactivatewithvoiceabovelock
Permitir indexación de almacenes o elementos cifrados,Bloquear,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-Search?WT.mc_id=Portal-fx#allowindexingencryptedstoresoritems
Habilitar pantalla inteligente en shell,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-smartscreen?WT.mc_id=Portal-fx#enablesmartscreeninshell
Impedir la invalidación de archivos en shell,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-smartscreen?WT.mc_id=Portal-fx#preventoverrideforfilesinshell
Notificar malintencionada,habilitado,Sin enlace
Notificación de la reutilización de contraseñas,habilitado,Sin enlace
Notificar a una aplicación no segura,habilitado,Sin enlace
Servicio habilitado,habilitado,Sin enlace
Configuración del modo de inicio del servicio de administración de accesorios de Xbox,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-SystemServices?WT.mc_id=Portal-fx#configurexboxaccessorymanagementservicestartupmode
Configuración del modo de inicio del servicio Administrador de autenticación de Xbox Live,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-SystemServices?WT.mc_id=Portal-fx#configurexboxliveauthmanagerservicestartupmode
Configuración del modo de inicio del servicio Guardar juego de Xbox Live,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-SystemServices?WT.mc_id=Portal-fx#configurexboxlivegamesaveservicestartupmode
Configuración del modo de inicio del servicio de redes de Xbox Live,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-SystemServices?WT.mc_id=Portal-fx#configurexboxlivenetworkingservicestartupmode
Habilitar la tarea Guardar juego de Xbox,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-TaskScheduler?WT.mc_id=Portal-fx#enablexboxgamesavetask
Acceso desde la red,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#accessfromnetwork
Permitir inicio de sesión local,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#allowlocallogon
Archivos y directorios de copia de seguridad,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#backupfilesanddirectories
Creación de objetos globales,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#createglobalobjects
Crear archivo de página,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#createpagefile
Depurar programas,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#debugprograms
Denegar el acceso desde la red,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#denyaccessfromnetwork
Denegar el inicio de sesión de Servicios de Escritorio remoto,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#denyremotedesktopserviceslogon
Suplantar cliente,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#impersonateclient
Cargar los controladores de dispositivo de descarga,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#loadunloaddevicedrivers
Administración de registros de auditoría y seguridad,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#manageauditingandsecuritylog
Administrar volumen,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#managevolume
Modificación del entorno de firmware,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#modifyfirmwareenvironment
Proceso único de perfil,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#profilesingleprocess
Apagado remoto,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#remoteshutdown
Restaurar archivos y directorios,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#restorefilesanddirectories
Tomar posesión,configurado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-UserRights?WT.mc_id=Portal-fx#takeownership
Integridad del código aplicado del hipervisor,(Habilitado con bloqueo UEFI) Activa Hypervisor-Protected integridad de código con bloqueo UEFI.,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-VirtualizationBasedTechnology?WT.mc_id=Portal-fx#hypervisorenforcedcodeintegrity
Permitir la conexión automática a zonas activas de Wi-Fi Sense,Bloquear,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-wifi?WT.mc_id=Portal-fx#allowautoconnecttowifisensehotspots
Permitir el uso compartido de Internet,Bloquear,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-wifi?WT.mc_id=Portal-fx#allowinternetsharing
Las características faciales usan la protección contra la suplantación mejorada,true,https://learn.microsoft.com/es-es/windows/client-management/mdm/PassportForWork-csp/?WT.mc_id=Portal-fx#devicebiometricsfacialfeaturesuseenhancedantispoofing
Permitir Área de trabajo de Windows Ink,"el área de trabajo de Ink está habilitada (la característica está activada), pero el usuario no puede acceder a ella por encima de la pantalla de bloqueo.",https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-WindowsInkWorkspace?WT.mc_id=Portal-fx#allowwindowsinkworkspace
Directorio de copia de seguridad,base: copia de seguridad de la contraseña solo en Azure AD,https://learn.microsoft.com/es-es/windows/client-management/mdm/LAPS-csp/?WT.mc_id=Portal-fx#policiesbackupdirectory
Activar aplicaciones por voz desde la pantalla bloqueada,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-privacy
Bloquear la presentación de notificaciones del sistema,Sí,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-abovelock#abovelock-allowtoasts
Cuentas de Microsoft opcionales para aplicaciones de Microsoft Store,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-appruntime#appruntime-allowmicrosoftaccountstobeoptional
Bloquear instalaciones de aplicaciones con privilegios elevados,Sí,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-applicationmanagement#applicationmanagement-msialwaysinstallwithelevatedprivileges
Bloquear el control de usuario sobre las instalaciones,Sí,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-applicationmanagement#applicationmanagement-msiallowusercontroloverinstall
Bloquear DVR de juego (solo escritorio),Sí,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-applicationmanagement#applicationmanagement-allowgamedvr
Validación de credenciales de auditoría de inicio de sesión de cuenta (dispositivo):,Correcto y Error,Sin enlace
Auditar el inicio de sesión de la cuenta Del servicio de autenticación Kerberos (dispositivo):,Ninguno,Sin enlace
la cuenta de auditoría de cierre de sesión de la cuenta (dispositivo):,Error,Sin enlace
Pertenencia a grupos de auditoría de cierre de sesión de cuenta (dispositivo):,Correcto,Sin enlace
Inicio de sesión de inicio de sesión de cuenta Inicio de sesión de auditoría (dispositivo):,Correcto y Error,Sin enlace
Auditar otros eventos de cierre de sesión de inicio de sesión (dispositivo):,Correcto y Error,Sin enlace
Auditar inicio de sesión especial (dispositivo):,Correcto,Sin enlace
Auditar la administración de grupos de seguridad (dispositivo):,Correcto,Sin enlace
Auditar la administración de cuentas de usuario (dispositivo):,Correcto y Error,Sin enlace
Actividad PNP de auditoría de seguimiento detallado (dispositivo):,Correcto,Sin enlace
Creación detallada de procesos de auditoría de seguimiento (dispositivo):,Correcto,Sin enlace
Recurso compartido de archivos detallado (dispositivo) de auditoría de acceso a objetos,Error,Sin enlace
Auditar el acceso al recurso compartido de archivos (dispositivo):,Correcto y Error,Sin enlace
Auditoría de acceso a objetos Otros eventos de acceso a objetos (dispositivo):,Correcto y Error,Sin enlace
Auditoría de acceso a objetos Almacenamiento extraíble (dispositivo):,Correcto y Error,Sin enlace
Auditar el cambio de directiva de autenticación (dispositivo):,Correcto,Sin enlace
Cambio de directiva Auditar el cambio de directiva de nivel de regla (dispositivo) de MPSSVC,Correcto y Error,Sin enlace
Auditoría de cambios de directiva Auditar otros eventos de cambio de directiva (dispositivo):,Error,Sin enlace
Auditar cambios en la directiva de auditoría (dispositivo):,Correcto,Sin enlace
Uso de privilegios Auditar uso de privilegios confidenciales (dispositivo):,Correcto y Error,Sin enlace
Auditoría del sistema Otros eventos del sistema (dispositivo):,Correcto y Error,Sin enlace
Cambio de estado de seguridad (dispositivo) de auditoría del sistema,Correcto,Sin enlace
Audit Security System Extension (Device),Correcto,Sin enlace
Integridad del sistema de auditoría del sistema (dispositivo):,Correcto y Error,Sin enlace
Comportamiento de ejecución automática predeterminado de reproducción automática,no ejecutar,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-autoplay#autoplay-setdefaultautorunbehavior
Modo de reproducción automática,deshabilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-autoplay#autoplay-turnoffautoplay
Bloquear reproducción automática para dispositivos que no son de volumen,habilitado,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-autoplay#autoplay-disallowautoplayfornonvolumedevices
Directiva de unidad extraíble de BitLocker,Configurar,https://go.microsoft.com/fwlink/?linkid=2067140
Bloquear el acceso de escritura a unidades de datos extraíbles no protegidas por BitLocker,Sí,https://go.microsoft.com/fwlink/?linkid=872540
Bloquear administrador de contraseñas,Sí,https://go.microsoft.com/fwlink/?linkid=2067128
Requerir SmartScreen para Microsoft Edge (versión anterior),Sí,https://go.microsoft.com/fwlink/?linkid=2067029
Bloquear el acceso a sitios malintencionados,Sí,https://go.microsoft.com/fwlink/?linkid=2067040
Bloquear la descarga de archivos no comprobados,Sí,https://go.microsoft.com/fwlink/?linkid=2067023
Impedir que el usuario invalide los errores de certificado,Sí,https://go.microsoft.com/fwlink/?linkid=2067126
Configure el acceso seguro a las rutas de acceso UNC,configure Windows para que solo permita el acceso a las rutas UNC especificadas después de cumplir los requisitos de seguridad adicionales,https://go.microsoft.com/fwlink/?linkid=2067243
Lista de rutas UNC protegidas,no configurado de forma predeterminada. Agregue manualmente una o varias rutas de acceso UNC protegidas.,Sin enlace
Bloquear la descarga de controladores de impresión a través de HTTP,habilitado,https://go.microsoft.com/fwlink/?linkid=2067141
Bloquear la descarga de Internet para los asistentes de publicación web y pedidos en línea,habilitado,https://go.microsoft.com/fwlink/?linkid=2067136
Delegación remota de host de credenciales no exportables,habilitado,https://go.microsoft.com/fwlink/?linkid=2067103
Enumerar administradores,deshabilitado,https://go.microsoft.com/fwlink/?linkid=2067021
Bloquear el acceso directo a la memoria,Sin valor predeterminado,https://go.microsoft.com/fwlink/?linkid=2067031
Seguridad basada en virtualización,habilitar VBS con arranque seguro,Sin enlace
Habilitación de la seguridad basada en virtualización,Sí,https://go.microsoft.com/fwlink/?linkid=2067066
Iniciar protección del sistema,habilitado,Sin enlace
Activar credential guard,habilitar con bloqueo UEFI,https://go.microsoft.com/fwlink/?linkid=872424
Bloquee la instalación del dispositivo de hardware mediante las clases de instalación,Sí,https://go.microsoft.com/fwlink/?linkid=2067048
Quitar dispositivos de hardware coincidentes,Sí,Sin enlace
Lista de bloques,no configurado de forma predeterminada. Agregue manualmente uno o varios identificadores.,Sin enlace
Instalación de dispositivos de hardware por identificadores de dispositivo,Bloquear la instalación del dispositivo de hardware,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-deviceinstallation#deviceinstallation-preventinstallationofmatchingdeviceids
Quitar dispositivos de hardware coincidentes,Sí,Sin enlace
Identificadores de dispositivo de hardware que están bloqueados,Sí,Sin enlace
Instalación de dispositivos de hardware por clases de instalación,Bloquear la instalación del dispositivo de hardware,https://learn.microsoft.com/es-es/windows/client-management/mdm/policy-csp-deviceinstallation#deviceinstallation-preventinstallationofmatchingdevicesetupclasses
Quitar dispositivos de hardware coincidentes,no hay ninguna configuración predeterminada,Sin enlace
Identificadores de dispositivo de hardware que están bloqueados,no hay ninguna configuración predeterminada,Sin enlace
Requerir contraseña,Sí,https://go.microsoft.com/fwlink/?linkid=2067049
Contraseña necesaria,alfanumérico,https://go.microsoft.com/fwlink/?linkid=2067027
Expiración de contraseña (días):,60,https://go.microsoft.com/fwlink/?linkid=2067028
Recuento mínimo de caracteres de contraseña,3,https://go.microsoft.com/fwlink/?linkid=2067055
Impedir la reutilización de contraseñas anteriores,24,https://go.microsoft.com/fwlink/?linkid=2066795
Longitud mínima de la contraseña,8,https://go.microsoft.com/fwlink/?linkid=2067024
Número de errores de inicio de sesión antes de limpiar el dispositivo,10,https://go.microsoft.com/fwlink/?linkid=2067030
Bloquear contraseñas sencillas,Sí,https://go.microsoft.com/fwlink/?linkid=2067127
Antigüedad mínima de la contraseña en días,1,https://go.microsoft.com/fwlink/?linkid=2067022
Impedir el uso de la cámara,habilitado,https://go.microsoft.com/fwlink/?linkid=2067052
Impedir presentación con diapositivas,habilitado,https://go.microsoft.com/fwlink/?linkid=2067105
Enumeración de dispositivos externos incompatibles con Kernel DMA Protection,Bloquear todo,Sin enlace
